Bruxelles  Ville- Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi
Patrimoine publique / Openbare patrimonium;Marché de travaux - Démontage et demolition de la bourse - Procédure négociée directe avec publication préalable;Opdracht voor werken - Demontage en sloop van de Beurs - Vereenvoudigde onderhandelingsprocedure met bekendmaking;10/10/2019;RENOTEC nv;538.152,12
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but l'achat de pièces d'origine et la réalisation de réparations, pendant 24 mois, des tracteurs de la marque LAMBORGHINI de l'U.O. (unité organisationnelle) Espaces Verts du département Travaux de Voirie et de l'U.O (unité organisationnelle) Sports du département Culture, Jeunesse, Loisirs et Sports  conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010718).;Overheidsopdracht voor diensten tegen prijslijst met het doel het aankopen van originele wisselstukken en de verwezenlijking van herstelligen, gedurende 24 maanden, van de tractors van het merk LAMBORGHINI van O.E. ( organisatorische eenheid) Groene Ruimten van het departement Wegeniswerken en van de O.E. (organisatorische eenheid) Sport van het departement Cultuur, Jeugd, Ontspanning  en Sport afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010718).;28/11/19;Verstraeten Agritechnieken bvba - Provincialeweg 21C - 2890 Puurs-Sint-Amands;102.000,00
Patrimoine publique / Openbare patrimonium;Marché de services - Auteur de projet pour la construction de fritkots sur le territoire de la Ville de Bruxelles.-  Procédure négociée sans publication préalable;Opdracht voor diensten- Ontwerpauteur voor de bouw van frietkramen op het grondgebied van de Stad Brussel.- Onderhandelingsprocedure zonder voorafgaande bekendmaking;20/06/2019;Studio Moto Architects;68.970,00
Centrale d'Achats / Aankoopcentrale;Marché public de services ayant pour but le nettoyage, pendant 12 mois, des locaux professionnels de l'ASBL Bravvo conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/011013).;Overheidsopdracht voor diensten met het doel de schoonmaak, gedurende 12 maanden, van de bedrijfsruimte van de VZW Bravvo afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011013).;5/12/19;Europe Cleaning Services SPRL - avenue du Cimetière de Bruxelles 57B - 1140 Bruxelles;85.042,84
Patrimoine publique / Openbare patrimonium;Marché de travaux - Aménagement du bloc sanitaire dans la cour de récréation de l'Ecole Fondamentale Baron Steens - Procédure négociée sans publication préalable;Opdracht voor werken - Volledige inrichting van het sanitaire buitenblok - Basisschool Baron Steens - Onderhandelingsprocedure zonder voorafgaande bekendmaking;19/12/2019;UNIC CONCEPT;51.509,42
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la location, pendant 24 mois, de nacelles à ciseaux et d'élévateurs télescopiques pour divers départements de la Ville de Bruxelles conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010582).;Overheidsopdracht voor leveringen tegen prijslijst met het doel het huren, gedurende 24 maanden, van schaarliften en telescoophoogwerkers voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010582).;5/12/19;DK Rental nv - Sprietestraat 164 - 8792 Waregem;43.666,00
Patrimoine publique / Openbare patrimonium;Marché de travaux - Centre Sportif de Haren - Renouvellement revêtement de sol - Procédure négociée sans publication préalable;Opdracht voor werken - De vervanging van een vloerbekleding in gegoten P.U. - Sporthal Haren - Onderhandelingsprocedure zonder voorafgaande bekendmaking;19/12/2019;ADEC SPORT SA;137.839,24
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la location, pendant 24 mois, de terminaux de paiement avec les services y afférents  pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/010960).;Overheidsopdracht voor leveringen tegen prijslijst gedurende 24 maanden met het doel het huren van betaalautomaten met de bijhorende diensten voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010960).;12/12/19;Wordline SA - chaussée de Haecht 1442 - 1130 Bruxelles;127.468,15
Patrimoine publique / Openbare patrimonium;"Marché de travaux - Entreprise à bordereau de prix, pour une période de 3 ans, relative aux
travaux et fournitures nécessaires pour le renouvellement, l’extension ou la réalisation de
nouvelles installations de chauffage ainsi que pour les travaux d’entretien et de dépannages dans
les bâtiments appartenant au domaine public de la Ville de Bruxelles et à la Zone de Police
Bruxelles CAPITALE Ixelles. Marché conjoint suivant l’article 48 de la loi du 17/06/2016 - PO";Opdracht van werken - Aanneming tegen prijsborderel, voor een periode van drie jaar, betreffende de werken en leveringen nodig voor de vernieuwing, de uitbreiding of de verwezenlijking van nieuwe verwarmingsinstallaties alsook voor de onderhouds- en depannagewerken in de gebouwen behorende tot het openbaar domein van de Stad Brussel en van de politiezone Brussel-Hoofdstad/Elsene. Gezamenlijke opdracht volgens artikel 48 van de wet van 17.06.2016 - OP;6/06/2019;SA IMTECH BELGIUM / NV IMTECH BELGIUM;4.537.500,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 4 lots ayant pour but la fourniture de vélos, vélos cargo et triporteurs pour le département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n°  CDA/011026).;Overheidsopdracht voor leveringen tegen prijslijst en in 4 percelen met het doel de levering van fietsen, cargofietsen en bakfietsen voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011026).;12/12/19;Rented Wheels bvba - Sint-Markoenstraat 21A - 9032 Wondelgem + Goodbikes SPRL - rue Américaine 167 - 1050 Bruxelles;47.257,50
Patrimoine publique / Openbare patrimonium;Marché de services - Contrat d'entretien pour une période d'un an (du 01/10/2019 au 30/09/2020) des installations de commande à distance, des installations de régulation DCC (Honeywell) et des installations de communication des installations de chauffage dans divers bâtiments de la Ville - PNSPP;Opdracht van diensten - Onderhoudscontract voor een periode van één jaar (van 01/10/2019 tot 30/09/2020) voor het onderhoud van de afstandsbedienings-, de DDC (Honeywell) regel- en de communicatieinstallaties van de verwarmingsinstallaties in verschillende gebouwen van de Stad - OZVB;19/09/2019;SA HONEYWELL / NV HONEYWELL;107.773,49
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix ayant pour but la fourniture, pendant 12 mois, de matériaux hydrocarbonés semi-fermés applicables à froid pour l'entretien des voies publiques pour le département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/011022).;Overheidsopdracht voor leveringen tegen prijslijst met het doel de levering, gedurende 12 maanden, van koud te verwerken halfdichte koolwaterstofproducten voor het onderhoud van de openbare weg voor het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011022).;19/12/19;Mobilmat nv - Pathoekeweg 400 - 8000 Brugge;123.038,85
Patrimoine publique / Openbare patrimonium;Marché de travaux - Renouvellement des installations de chauffage de la chaufferie et d’une partie du complexe Canal, rue du Canal, 51-55 à 1000 Bruxelles - PO;Opdracht van werken - Vernieuwing van de verwarmingsinstallaties van de stookplaats en van een deel van het complex “Canal”  – Vaartstraat, 51-55 te 1000 Brussel - OP;28/11/2019;SA TPF UTILITIES / NV TPF UTILITIES;281.138,64
Centrale d'Achats / Aankoopcentrale;Marché public de services à bordereau de prix ayant pour but la sélection, pendant 48 mois, de candidats pour des fonctions supérieures de management pour le département RH conclu par procédure ouverte en application de l'article 36 de la loi du 17/06/2016 (cahier spécial des charges n° CDA/010419).;Overheidsopdracht voor diensten tegen prijslijst met het doel de selectie, gedurende 48 maanden, van kandidaten voor hogere managementfuncties voor departement RH afgesloten via een openbare procedure overeenkomstig artikel 36 van de wet van 17/06/2016 (bestek nr CDA/010419).;19/12/19;Risesmart, Division of Randstad Professionals SA - avenue Charles-Quint 586/8 - 1082 Bruxelles;107.145,50
Patrimoine publique / Openbare patrimonium;Marché de travaux -  Institut Diderot – Rue des Capucins, 58 à 1000 Bruxelles – Mise en conformité de l’ensemble des installations électriques basse tension et relighting LED - PO;Opdracht van werken - « Institut Diderot » - Kapucijnenstraat, 58 te 1000 Brussel - In conformiteit stellen van het geheel van de elektrische installaties lage spanning en relighting LED - OP;19/12/2019;SA TPF UTILITIES / NV TPF UTILITIES;419.018,41
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures ayant pour but la fourniture d'une balayeuse pour la cellule Propreté Publique du département Travaux de Voirie et la reprise d'une balayeuse amortie conclu par procédure négociée directe avec publication préalable en application de l'article 41, § 1er, 1° de la loi du 17/06/2016 (cahier des charges n°  CDA/010730).;Overheidsopdracht voor leveringen met het doel de levering van een veegmachine voor de cel Openbare Reinheid van het departement Wegeniswerken en de overname van een afgeschreven veegmachine afgesloten via vereenvoudigde onderhandelingsprocedure met  voorafgaande bekendmaking overeenkomstig artikel 41, § 1, 1° van de wet van 17/06/2016 (bestek nr CDA/010730).;19/12/19;Technisch Bedrijf Karel De Kegel nv - Joseph Cardijnstraat 7 - 9420 Erpe-Mere;199.650,00
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures en 2 lots ayant pour but la fourniture de chargeurs articulés pour la cellule Zones Vertes du département Travaux de Voirie conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/010914).;Overheidsopdracht in 2 percelen voor leveringen met het doel de levering van knikladers voor de cel Groene Zones van het departement Wegeniswerken afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/010914).;19/12/19;Heusdens Renting nv - Lichtenberglaan 1001 - 3800 Sint-Truiden;81.361,61
Centrale d'Achats / Aankoopcentrale;Marché public de fournitures à bordereau de prix et en 6 lots, ayant pour but la fourniture, le montage et le placement de bacs à plantes et de compostage pour divers départements conclu par procédure négociée sans publication préalable en application de l'article 42, § 1er, 1°, a, de la loi du 17/06/2016 (cahier des charges n° CDA/011001).;Overheidsopdracht voor leveringen tegen prijslijst en in 6 percelen met het doel de levering, montage en plaatsing van planten- en compostbakken voor verschillende departementen afgesloten via onderhandelingsprocedure zonder voorafgaande bekendmaking overeenkomstig artikel 42, § 1, 1°, a, van de wet van 17/06/2016 (bestek nr CDA/011001).;19/12/19;Bel Terra bvba - Hippodroomstraat 66 - 8790 Waregem + Blumeta Vof - Bijsterhuizen 51-20 - 6604 LX Wijchen (Pays-Bas) + Bota-Concept SPRL - chaussée de Mons 266 - 7800 Ath + Vert d'Iris International SCRL - rue de Liverpool 61 - 1070 Bruxelles;79.392,58
Travaux de Voirie / Wegeniswerken;Marché public de services, conclu par procédure négociée sans publicité préalable en application de l'article 17 § 2, 1° a) de la loi du 24/12/1993, ayant pour objet objet la mission globale (architecture, stabilité et techniques spéciales) et complète de conseiller technique pour la démolition et la reconstruction du dépôt de section de la Propreté Publique situé rue du Gaz n° 28 à 1020 Bruxelles (dossier TV/2011/62/PP).- Dépense supplémentaire et décompte final.;Overheidsopdracht voor diensten, gegund via onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van artikel 17 § 2, 1° a) van de wet van 24/12/1993, met als voorwerp de globale en volledige opdracht (architectuur, stabiliteit en speciale technieken) van technisch adviseur voor de afbraak en heropbouw van de sectiestelplaats van de Openbare Reinheid gelegen Gasstraat nr. 28 te 1020 Brussel (dossier TV/2011/62/PP).- Meeruitgave en eindafrekening.;29/08/2019;AAC Architecture SA, rue Lambert Crickx 30, 1070 Bruxelles;27.298,44
